Store,Core SKUs Availability,Shelf Space,Total Energy Drink Shelf Space,Comp#1 Shelf Space,Brand Visibility Condition,Brand Messaging Score,Price Comm Condition Score,Ambient Placement Condition Additional,Ambient Placements Additional,Comp#1 Placement Ambient  Additional,Chilled Placement Additional,Comp#1 Placement Chilled  Additional,Cashier Placement Cooler Condition,Cashier Coolers With SKU Available,Cashier Coolers With Comp#1 Available,Shelf Space Condition,POS Communication Condition,Available Placements Types In Store,Energy Shelf Space Share,Chilled Cashier Placement,Main Competitor SKU,Ambient Placement Additional ,Buying Group,Key Account,Distributor,Sales Gross,Sales Net,Actual Service Frequency,Volume 12pck,Volume 4pck,Volume 6pck,Volume Single,Volume,SKU Distribution
1003172181,73.3,3,6,1,0,0,0,0,0,0,0,0,0,0,0,100,0,1,48,0,5,0,780004,781171,5937,944,923,2,,,,74,74,14
1003172185,100,6,17,5.3,100,0,100,0,0,0,0,0,0,0,0,90.4,62.5,1,35.3,0,25,0,780004,781171,5938,3453,3391,4,,,,217,217,15
1003173307,93.3,7,23,5.8,50,50,0,0,0,0,1,0,0,0,0,80.5,37.5,2,30.1,0,26,0,780004,784104,5908,2225,2120,2,,1,,164,165,14
1003173340,100,6,17,4,100,100,100,0,0,0,0,0,100,1,0,90.4,100,2,35.3,1,29,0,780004,784104,5908,1919,1786,2,,2,,111,113,15
1003174071,93.3,6,17,5.5,0,0,100,0,0,0,0,0,0,0,0,90.4,25,1,35.3,0,22,0,780004,781171,5901,1407,1380,3,,,,116,116,15
1003174072,100,6,17,5.3,100,0,100,0,0,0,0,0,0,0,0,91.4,62.5,1,35.8,0,31,0,780004,781171,5908,1212,1189,3,,,,76,76,15
1003174136,100,5,15,3.8,100,0,100,0,0,0,0,0,100,1,0,87.7,62.5,2,33.9,1,20,0,786531,786532,5901,380,333,1,,2,,22,24,13
1003174446,53.3,4,12,3,100,0,100,0,0,0,0,0,0,0,0,86.6,62.5,1,33.3,0,10,0,788371,780008,5938,4717,4552,4,,,,340,340,11
1003174464,86.7,5,6,0.3,100,0,100,100,1,0,1,1,0,0,0,100,62.5,3,83.3,0,3,1,786531,786532,5901,1283,1169,2,8,,,117,125,14
1003174583,86.7,9,9,0,66.7,66.7,0,100,1,1,1,1,0,0,0,100,50,3,100,0,1,1,786531,786532,5904,2803,2525,4,,4,,173,177,14
